id,first_name,last_name,gender,Not 1,Not 2,Not 3
648,Feodor,MacSween,Male,67,10,66
649,Elsa,Mullender,Female,90,67,32
650,Xerxes,Iacoviello,Male,92,29,94
651,Jaquenetta,Daulby,Female,41,73,61
652,Lesley,Skace,Female,6,11,57
653,Linoel,Coronas,Male,9,17,11
654,Claretta,Markwick,Female,79,79,63
655,Onfroi,Tolomei,Male,31,77,81
656,Yardley,Gillivrie,Male,24,7,97
657,Priscella,Dyble,Female,27,70,40
658,Cleon,Bransby,Male,90,88,13
659,Francisco,Bingham,Male,15,35,73
660,Brenna,Tillerton,Female,90,5,63
661,Hercules,Booth-Jarvis,Male,86,13,77
662,Marni,Batts,Female,3,72,37
663,Brnaba,Bottoner,Male,79,36,47
664,Ceil,Querrard,Female,17,65,53
665,Lincoln,Dowsing,Male,19,51,69
666,Ranice,Rimes,Female,76,68,97
667,Jacky,Scoterbosh,Male,82,39,33
668,Tiphany,Zoren,Female,5,100,64
669,Cyril,Hanlon,Male,25,49,87
670,Loydie,Domokos,Male,42,53,46
671,Loralyn,Sarge,Female,63,43,61
672,Fay,Tainton,Female,25,85,27
673,Tasia,Gillhespy,Female,52,2,95
674,Noelani,Murie,Female,27,13,2
675,Laural,Bourhill,Female,93,57,31
676,Cletus,Merwe,Male,69,49,44
677,Margareta,Oxbrough,Female,61,14,47
678,Bekki,Yerson,Female,22,32,81
679,Adolf,Dearsley,Male,40,65,100
680,Renaud,McManamon,Male,12,15,15
681,Ogden,Klemps,Male,69,10,61
682,Harwilll,Coggon,Male,1,37,74
683,Freida,McShea,Female,46,32,27
684,Bartram,Halewood,Male,7,63,51
685,Patric,Le Noury,Male,22,20,55
686,Marabel,Taffe,Female,71,57,60
687,Ewart,Fitt,Male,72,9,98
688,Annaliese,Gammon,Female,85,22,54
689,Giorgio,Marsters,Male,9,4,69
690,Verney,Breinlein,Bigender,24,76,31
691,Abbie,Elderbrant,Female,25,26,20
692,Garvy,Hakey,Male,56,23,15
693,Ker,Steggles,Male,33,98,75
694,Bartholomeo,Vayro,Male,68,51,34
695,Cooper,Iashvili,Male,96,82,53
696,Rayna,Densell,Female,95,80,59
697,Michail,Zoane,Male,92,79,53
698,Alonzo,Morecombe,Male,8,94,60
699,Madalena,Durber,Female,21,36,55
700,Bee,Curnok,Female,33,73,62
701,Myca,Turpey,Male,11,63,47
702,Clemmie,Cornau,Female,87,16,28
703,Athena,Keveren,Female,39,100,80
704,Hi,Sivewright,Male,51,63,22
705,Catrina,Nitti,Polygender,82,22,57
706,Ramsay,Cazereau,Male,19,10,59
707,Peterus,Uppett,Male,1,50,31
708,Twila,Hartright,Female,20,12,51
709,Elnore,Smyley,Female,33,44,14
710,Ross,Gouth,Male,89,65,100
711,Lamond,Kunzler,Male,89,78,18
712,Brittany,Elwell,Female,9,92,2
713,Sauncho,McCandless,Male,42,39,41
714,Lisetta,Anmore,Female,39,71,21
715,Sharron,Scholard,Female,91,60,38
716,Malena,Rubica,Female,22,59,81
717,Tallou,Schettini,Female,31,5,32
718,Hube,Smellie,Male,6,35,89
719,Dorian,O'Gleasane,Male,29,82,6
720,Linus,Boulsher,Male,59,62,39
721,Iris,Perot,Female,17,66,61
722,Buckie,MacIlhagga,Male,77,9,16
723,Siffre,Dallon,Male,54,27,32
724,Andrea,Musterd,Male,1,83,61
725,Almira,Borland,Female,59,71,7
726,Analiese,Efford,Female,33,15,36
727,Manuel,Alessandone,Male,69,98,38
728,Heinrick,Malek,Male,42,76,34
729,Raleigh,Crudgington,Male,61,60,13
730,Craggy,Habden,Male,43,3,16
731,Neda,Findlay,Female,7,23,80
732,Mario,Dumphy,Male,14,67,13
733,Chad,Errichi,Female,84,54,55
734,Meryl,Heinzler,Female,10,64,49
735,Wilona,Meriton,Female,99,83,67
736,Calida,Gockelen,Female,73,60,20
737,Nichole,Durdy,Male,61,58,79
738,Alfy,Stocken,Male,34,44,50
739,Hayden,Sumers,Male,68,7,47
740,Phedra,Wilmut,Genderqueer,88,4,54
741,Trescha,Van Rembrandt,Female,2,64,21
742,Terrell,McCaughran,Male,77,91,53
743,Berkie,McGivena,Male,67,83,8
744,Heath,Chominski,Male,82,76,62
745,Alden,Grimestone,Male,37,12,56
746,Reece,Babonau,Male,97,48,63
747,Cristian,Bundock,Male,97,86,17
748,Barthel,Sincock,Male,86,88,56
749,Wilden,Shipperbottom,Male,5,3,9
750,Gloriana,Siderfin,Female,69,5,9
751,Hersh,Abramino,Male,10,36,16
752,Hebert,Waterfield,Male,52,96,29
753,Standford,Threader,Male,45,85,15
754,Legra,Birtwistle,Female,51,92,78
755,Nady,Pardue,Female,10,48,92
756,Isaiah,Buckston,Male,8,93,24
757,Barbabas,Warbey,Male,99,63,23
758,Elvis,Hubberstey,Male,89,96,70
759,Wilburt,Balthasar,Male,62,50,15
760,Townsend,Blunsum,Male,31,11,47
761,Akim,Wapol,Male,74,96,14
762,Loydie,Studman,Male,70,39,48
763,Geordie,Shortland,Male,47,88,10
764,Matias,Stallard,Male,86,1,26
765,Rhona,MacDunlevy,Female,47,52,54
766,Zenia,Rattery,Female,52,31,88
767,Hastie,Cornau,Male,84,54,96
768,Dora,Diamant,Female,57,85,89
769,Yurik,Darrow,Male,67,86,29
770,Kora,Joe,Female,99,90,67
771,Noam,Whatman,Male,67,44,71
772,Warner,Von Welldun,Male,36,78,12
773,Joey,Tremathick,Female,78,58,26
774,Fin,Novelli,Male,90,85,36
775,Kipp,Circuit,Female,9,19,50
776,Arabela,Cloney,Female,54,4,44
777,Clotilda,Redish,Female,77,78,29
778,Gilles,Bumphries,Male,90,21,79
779,Raddie,Kilfether,Male,48,63,1
780,Verena,Kaspar,Female,77,30,98
781,Bancroft,Giercke,Male,72,44,64
782,Lynnet,Dallosso,Female,58,61,77
783,Dee,Bocking,Female,30,66,49
784,Augustina,Penning,Non-binary,14,28,85
785,Berta,Shackesby,Polygender,53,84,61
786,Hillyer,Ewbank,Male,76,37,26
787,Noak,Weyland,Male,36,44,87
788,Nate,Leivers,Male,95,71,48
789,Jodie,Wastall,Female,27,72,48
790,Octavius,Hughland,Male,4,29,26
791,Willyt,Wedderburn,Female,91,70,78
792,Dieter,Wreakes,Polygender,5,64,97
793,Ivory,Schiementz,Female,4,91,31
794,Gawain,Tordiffe,Male,82,90,55
795,Rurik,Granville,Male,98,3,45
796,Glendon,Halso,Male,95,33,74
797,Benedick,Lovelace,Male,58,96,98
798,Neil,Storror,Male,100,86,66
799,Marlin,Goghin,Male,12,51,95
800,Corabelle,Downes,Female,85,57,49
801,Shurlock,Janssens,Male,6,93,4
802,Caryl,Whorlow,Female,39,86,6
803,Gracie,Nelle,Female,37,98,64
804,Willabella,Smith,Female,11,8,37
805,Johnath,Listone,Female,23,51,80
806,Devland,Oda,Genderfluid,70,86,98
807,Conn,Hastelow,Male,53,37,71
808,Gabe,MacPharlain,Male,4,1,93
809,Ginelle,Smurthwaite,Bigender,63,89,59
810,Renaud,Lapslie,Male,88,51,77
811,Josey,Roggerone,Bigender,64,64,72
812,Felipe,Essel,Genderfluid,50,46,93
813,Rahal,Haysham,Female,57,53,36
814,Nate,Vertey,Male,100,63,89
815,Giulio,Lydiatt,Bigender,19,68,94
816,Clementine,Mateiko,Female,99,68,1
817,Kingsley,Ranyell,Male,35,83,60
818,Carmencita,Hawick,Female,59,75,86
819,Etty,Cohrs,Female,66,56,6
820,Haze,Tschiersch,Male,44,10,83
821,Freedman,De Ferraris,Male,16,41,23
822,Stillman,Fairhead,Male,12,23,67
823,Eleanor,Trimme,Female,18,96,61
824,Tome,Pappi,Male,34,8,13
825,Valdemar,Dowears,Male,23,39,51
826,Serena,Ruddock,Female,10,25,1
827,Rudolfo,Mohammad,Male,64,5,50
828,Loretta,Eplate,Female,92,22,51
829,Hercules,Gleed,Male,10,30,89
830,Peri,Conyard,Female,12,1,20
831,Isacco,Narey,Male,17,42,16
832,Vonnie,Hairs,Female,19,90,46
833,Derron,Dunniom,Male,98,1,13
834,Margette,Ducket,Polygender,58,100,32
835,Peyter,Roll,Male,59,100,22
836,Doralin,Ringrose,Female,88,18,91
837,Maxy,Eaton,Female,69,9,32
838,Brock,Ast,Male,27,39,70
839,Coletta,Earles,Female,25,80,29
840,Lauren,Bangley,Female,44,44,74
841,Millie,Burbage,Female,79,22,93
842,Riordan,Prest,Male,100,40,53
843,Job,Nehl,Male,27,12,83
844,Allyce,Effnert,Female,56,99,56
845,Pattie,Timmis,Female,64,69,84
846,Theodoric,Leele,Male,70,34,28
847,Tobit,Secretan,Male,4,24,88
848,Michale,Baniard,Male,81,62,49
849,Riobard,Burd,Polygender,62,87,49
850,Mordecai,Sawden,Male,85,58,1
851,Orbadiah,Peplaw,Male,61,12,14
852,Marian,Danielian,Female,89,37,97
853,Eugene,Bremeyer,Male,46,32,32
854,Lars,Sante,Male,82,66,48
855,Devina,Gianasi,Female,45,45,92
856,Ari,Pabst,Genderfluid,73,83,18
857,Mattheus,Maxstead,Male,66,2,79
858,Garret,Warmisham,Male,94,5,22
859,Theodora,Stourton,Genderfluid,46,72,6
860,Dinnie,Troctor,Female,17,3,78
861,Mabel,Choldcroft,Female,66,70,16
862,Brandy,Morrieson,Female,17,17,34
863,Art,Exposito,Male,83,19,96
864,Waverly,Woodruffe,Male,20,61,47
865,Rowan,Rookeby,Male,13,56,15
866,Cyndi,Wrathmall,Female,79,39,77
867,Madeline,Scoble,Female,93,87,52
868,Aluino,Pattrick,Male,9,65,97
869,Ammamaria,Alderton,Female,77,6,9
870,Mellie,Surguine,Female,74,16,50
871,Alvie,Lowden,Male,7,29,27
872,Adara,Swayne,Female,23,6,48
873,Sergei,Cotmore,Male,15,56,81
874,Friedrich,Alcide,Male,62,2,46
875,Reginauld,Kirman,Male,33,17,48
876,Aretha,Strapp,Female,68,20,66
877,Bryana,Burridge,Female,45,99,57
878,Belia,Jouanny,Female,43,16,34
879,Siana,Rumke,Female,14,1,87
880,Dory,Thome,Female,56,77,63
881,Muhammad,Newlin,Male,10,16,5
882,Filmore,McEntee,Male,37,41,100
883,Kelbee,Gowler,Male,49,55,14
884,Valentijn,Gummoe,Male,69,2,79
885,Briggs,Piser,Male,83,30,12
886,Carl,Woodlands,Male,76,76,69
887,Chery,Dumphrey,Female,92,1,60
888,Buckie,Grindle,Male,86,73,81
889,Onfroi,Brickstock,Male,49,38,55
890,Alys,Scryne,Female,60,63,15
891,Bruno,Emerton,Male,96,90,38
892,Dora,Henden,Female,98,77,74
893,Marven,Crielly,Male,59,83,67
894,Tally,Fayerman,Female,15,19,97
895,Teddy,Cleveley,Male,10,94,89
896,Adriane,Tubble,Bigender,40,60,97
897,Juliet,Pellingar,Female,74,70,22
898,Hamlin,Baford,Male,71,95,27
899,Sosanna,Boays,Female,73,53,95
900,Ailis,Strute,Female,49,32,43
901,Dagny,Cassius,Male,1,62,99
902,Raleigh,Vamplers,Male,60,6,49
903,Theo,Lerwill,Female,68,93,4
904,Brannon,Hoggins,Male,63,34,35
905,Felice,Pountain,Polygender,18,56,44
906,Schuyler,Cleeton,Genderqueer,52,19,32
907,Lew,Hayworth,Non-binary,48,31,10
908,Horatia,Thurlby,Female,99,88,98
909,Alica,Cotsford,Genderfluid,16,9,80
910,Cecilius,Crumb,Male,79,49,47
911,Cedric,Trunkfield,Male,73,52,65
912,Hurleigh,Hinks,Male,26,96,61
913,Javier,Rhule,Male,28,62,63
914,Rozella,Danelet,Female,66,21,75
915,Merill,Renzullo,Male,85,59,100
916,Herc,Ziemsen,Male,79,17,66
917,Celestine,Carnoghan,Female,100,1,57
918,Corette,Shewon,Female,19,94,16
919,Andi,Itzkov,Female,8,12,85
920,Yule,Stennings,Male,72,72,98
921,Christian,Sprott,Female,78,97,9
922,Loleta,Etheridge,Female,44,4,77
923,Viva,Wingrove,Female,36,38,92
924,Bertina,Wharby,Genderqueer,50,74,10
925,Rebe,O'Hoey,Female,80,59,86
926,Bree,Yonge,Female,45,24,33
927,Dimitri,Ilyuchyov,Male,81,90,60
928,Jeanie,McGlaud,Female,98,24,4
929,Damon,Pettegree,Male,45,69,76
930,Reynold,Driffield,Male,22,61,90
931,Dewitt,Ruckhard,Male,70,97,89
932,Grove,Isaacs,Male,20,72,21
933,Desmond,Cliss,Male,20,87,19
934,Robin,Beckhurst,Male,49,87,76
935,Collette,Bristowe,Female,4,16,24
936,Bartolomeo,Maydway,Male,44,18,97
937,Burr,Pedreschi,Male,67,2,76
938,Desmond,Simison,Male,33,34,73
939,Leonid,Holsey,Male,11,43,9
940,Sibelle,Steane,Female,32,86,45
941,Finlay,McKean,Male,88,96,54
942,Ester,Spurier,Female,58,77,86
943,Flori,Kermannes,Female,45,94,7
944,Claiborne,Blunsom,Male,42,25,91
945,Verge,Risen,Male,12,33,22
946,Vevay,Evert,Female,1,11,2
947,Larissa,Hutchings,Female,55,58,54
948,Judon,Giottini,Male,14,48,40
949,Raven,Harpin,Female,90,13,49
950,Ernesto,Baleine,Male,32,58,46
951,Lenna,Blaschek,Female,14,91,19
952,Flory,Orsman,Male,68,25,45
953,Tuck,Ferreiro,Male,2,60,19
954,Fin,Berwick,Male,56,2,41
955,Craig,Umpleby,Male,57,99,27
956,Morten,Poundford,Male,93,72,52
957,Cecilio,Serris,Male,71,58,6
958,Maximilien,Heine,Male,73,55,13
959,Ellyn,McConigal,Female,77,86,62
960,Tansy,Udale,Female,1,47,49
961,Feliks,Showell,Male,13,77,8
962,Phedra,Swinfon,Female,63,99,63
963,Eric,Pillans,Male,23,39,8
964,Sheree,Kuschel,Female,54,38,19
965,Belicia,Yegorov,Female,44,43,58
966,Robbert,Yell,Male,51,58,70
967,Debor,Harbottle,Female,62,94,74
968,Winona,Lynett,Female,85,79,38
969,Kailey,Orrell,Female,83,86,76
970,Meara,Kruse,Female,19,2,58
971,Tuck,Agius,Male,51,35,81
972,Bartram,Ivel,Male,49,89,16
973,Ailsun,Treversh,Female,24,70,80
974,Joletta,Smowton,Female,5,58,100
975,Michale,Beasleigh,Male,57,19,55
976,Jodi,Garrie,Female,5,47,62
977,Saba,Baglan,Female,22,8,50
978,Bo,Wohlers,Male,35,79,20
979,Gelya,Nand,Female,71,59,26
980,Leelah,Harniman,Polygender,98,13,18
981,Gene,Schulkins,Male,36,27,67
982,Sasha,Shwenn,Agender,71,83,70
983,Fleur,Goodwyn,Female,71,43,14
984,Dame,Leverentz,Male,90,100,32
985,Siusan,Hulcoop,Female,1,56,39
986,Bernard,Saurat,Male,8,95,27
987,Kellyann,Lelande,Female,28,19,36
988,Juliana,Frick,Female,90,79,26
989,Nathalie,Mantram,Female,93,58,33
990,Emmalynne,Thandi,Female,15,71,2
991,Tiphani,Wolver,Female,59,16,96
992,Clemmy,Stobbart,Agender,49,37,4
993,Ashlan,Bennough,Female,16,5,39
994,Marc,oldey,Male,8,71,14
995,Susi,Beatey,Female,15,69,26
996,Prent,Dering,Male,27,21,7
997,Rosalinda,Sacaze,Female,8,24,73
998,Ansell,Pantridge,Male,29,56,55
999,Anabella,Delgua,Female,79,100,84
1000,Rafaela,Palke,Female,52,42,48
